"","name","turtle","from","turtle","to","united"
"259","make-edge","turtle",24,"turtle",18,"make-edge turtle 24 turtle 18"
"260","make-edge","turtle",24,"turtle",19,"make-edge turtle 24 turtle 19"
"261","make-edge","turtle",24,"turtle",20,"make-edge turtle 24 turtle 20"
"262","make-edge","turtle",24,"turtle",21,"make-edge turtle 24 turtle 21"
"263","make-edge","turtle",24,"turtle",22,"make-edge turtle 24 turtle 22"
"264","make-edge","turtle",24,"turtle",23,"make-edge turtle 24 turtle 23"
"265","make-edge","turtle",25,"turtle",1,"make-edge turtle 25 turtle  1"
"266","make-edge","turtle",25,"turtle",2,"make-edge turtle 25 turtle  2"
"267","make-edge","turtle",25,"turtle",3,"make-edge turtle 25 turtle  3"
"268","make-edge","turtle",25,"turtle",5,"make-edge turtle 25 turtle  5"
"269","make-edge","turtle",25,"turtle",6,"make-edge turtle 25 turtle  6"
"270","make-edge","turtle",25,"turtle",7,"make-edge turtle 25 turtle  7"
"271","make-edge","turtle",25,"turtle",8,"make-edge turtle 25 turtle  8"
"272","make-edge","turtle",25,"turtle",9,"make-edge turtle 25 turtle  9"
"273","make-edge","turtle",25,"turtle",10,"make-edge turtle 25 turtle 10"
"274","make-edge","turtle",25,"turtle",11,"make-edge turtle 25 turtle 11"
"275","make-edge","turtle",25,"turtle",12,"make-edge turtle 25 turtle 12"
"276","make-edge","turtle",25,"turtle",13,"make-edge turtle 25 turtle 13"
"277","make-edge","turtle",25,"turtle",14,"make-edge turtle 25 turtle 14"
"278","make-edge","turtle",25,"turtle",15,"make-edge turtle 25 turtle 15"
"279","make-edge","turtle",25,"turtle",17,"make-edge turtle 25 turtle 17"
"280","make-edge","turtle",25,"turtle",18,"make-edge turtle 25 turtle 18"
"281","make-edge","turtle",25,"turtle",19,"make-edge turtle 25 turtle 19"
"282","make-edge","turtle",25,"turtle",20,"make-edge turtle 25 turtle 20"
"283","make-edge","turtle",25,"turtle",21,"make-edge turtle 25 turtle 21"
"284","make-edge","turtle",25,"turtle",22,"make-edge turtle 25 turtle 22"
"285","make-edge","turtle",25,"turtle",23,"make-edge turtle 25 turtle 23"
"286","make-edge","turtle",25,"turtle",24,"make-edge turtle 25 turtle 24"
"287","make-edge","turtle",26,"turtle",1,"make-edge turtle 26 turtle  1"
"288","make-edge","turtle",26,"turtle",2,"make-edge turtle 26 turtle  2"
"289","make-edge","turtle",26,"turtle",3,"make-edge turtle 26 turtle  3"
"290","make-edge","turtle",26,"turtle",5,"make-edge turtle 26 turtle  5"
"291","make-edge","turtle",26,"turtle",6,"make-edge turtle 26 turtle  6"
"292","make-edge","turtle",26,"turtle",7,"make-edge turtle 26 turtle  7"
"293","make-edge","turtle",26,"turtle",8,"make-edge turtle 26 turtle  8"
"294","make-edge","turtle",26,"turtle",9,"make-edge turtle 26 turtle  9"
"295","make-edge","turtle",26,"turtle",10,"make-edge turtle 26 turtle 10"
"296","make-edge","turtle",26,"turtle",11,"make-edge turtle 26 turtle 11"
"297","make-edge","turtle",26,"turtle",12,"make-edge turtle 26 turtle 12"
"298","make-edge","turtle",26,"turtle",13,"make-edge turtle 26 turtle 13"
"299","make-edge","turtle",26,"turtle",14,"make-edge turtle 26 turtle 14"
"300","make-edge","turtle",26,"turtle",15,"make-edge turtle 26 turtle 15"
"301","make-edge","turtle",26,"turtle",17,"make-edge turtle 26 turtle 17"
"302","make-edge","turtle",26,"turtle",18,"make-edge turtle 26 turtle 18"
"303","make-edge","turtle",26,"turtle",19,"make-edge turtle 26 turtle 19"
"304","make-edge","turtle",26,"turtle",20,"make-edge turtle 26 turtle 20"
"305","make-edge","turtle",26,"turtle",21,"make-edge turtle 26 turtle 21"
"306","make-edge","turtle",26,"turtle",22,"make-edge turtle 26 turtle 22"
"307","make-edge","turtle",26,"turtle",23,"make-edge turtle 26 turtle 23"
"308","make-edge","turtle",26,"turtle",24,"make-edge turtle 26 turtle 24"
"309","make-edge","turtle",26,"turtle",25,"make-edge turtle 26 turtle 25"
"310","make-edge","turtle",27,"turtle",1,"make-edge turtle 27 turtle  1"
"311","make-edge","turtle",27,"turtle",2,"make-edge turtle 27 turtle  2"
"312","make-edge","turtle",27,"turtle",3,"make-edge turtle 27 turtle  3"
"313","make-edge","turtle",27,"turtle",4,"make-edge turtle 27 turtle  4"
"314","make-edge","turtle",27,"turtle",5,"make-edge turtle 27 turtle  5"
"315","make-edge","turtle",27,"turtle",6,"make-edge turtle 27 turtle  6"
"316","make-edge","turtle",27,"turtle",7,"make-edge turtle 27 turtle  7"
